ADM_RATE,SAT_AVG,C150_4,UGDS_WOMEN,STUFACR
0.7895,1086.0,0.4761,0.6465,11.0
0.8209,1055.0,0.5466,0.5112,12.0
0.8028,1218.0,0.7048,0.5576,17.0
0.592,1146.0,0.404,0.6525,11.0
0.6987,1228.0,0.6849,1.0,10.0
0.7859,1178.0,0.3686,0.4491,10.0
0.9024,1164.0,0.2937,0.4548,13.0
0.8258,1022.0,0.4746,0.6467,14.0
0.5735,1038.0,0.5307,0.6107,19.0
0.8163,1233.0,0.6458,0.5704,14.0
0.204,1214.0,0.9047,0.6037,15.0
0.7945,1184.0,0.6565,0.4752,20.0
0.9084,1172.0,0.5755,0.6685,17.0
0.7602,1010.0,0.5077,0.7098,15.0
0.2975,1236.0,0.6985,0.6107,6.0
0.4748,1361.0,0.8436,0.4942,15.0
0.2802,984.0,0.4026,0.5184,12.0
0.6798,1259.0,0.7175,0.6507,16.0
0.9184,1003.0,0.4317,0.6237,15.0
0.7176,1070.0,0.3439,0.5766,11.0
0.692,1159.0,0.6429,0.6439,9.0
0.9019,1060.0,0.6739,0.9798,15.0
0.774,1285.0,0.3897,0.6616,9.0
0.8147,948.0,0.4578,0.7614,16.0
0.7942,1125.0,0.6136,0.5593,15.0
0.9935,1014.0,0.3636,0.554,13.0
0.7579,1062.0,0.5565,0.4304,11.0
0.6099,1050.0,0.3185,0.5935,14.0
0.8838,1055.0,0.465,0.6357,11.0
0.8903,1154.0,0.6178,0.439,17.0
0.9546,1151.0,0.6487,0.5022,18.0
0.8145,1051.0,0.5318,0.5223,13.0
0.7001,1137.0,0.6763,0.5089,12.0
0.7901,1175.0,0.6632,0.5563,11.0
0.7873,1131.0,0.6248,0.5626,18.0
0.7417,1134.0,0.6153,0.6078,10.0
0.3024,1483.0,0.8436,0.4738,9.0
0.6224,1235.0,0.7335,0.5472,15.0
0.8483,1267.0,0.7298,0.5026,19.0
0.9129,1114.0,0.5084,0.5542,16.0
0.8063,1246.0,0.7979,0.4771,15.0
0.6221,1038.0,0.5116,0.3973,11.0
0.836,1130.0,0.6345,0.676,13.0
0.8636,1104.0,0.5735,0.4875,15.0
0.8811,1266.0,0.7576,0.45,13.0
0.8731,1117.0,0.6766,0.6238,19.0
0.253,1050.0,0.4915,0.8607,12.0
0.5473,1040.0,0.4528,0.4379,13.0
0.7524,1050.0,0.5772,0.5549,13.0
0.7803,1085.0,0.5967,0.5896,12.0
0.8309,1082.0,0.5088,0.4875,8.0
0.886,1280.0,0.83,0.5118,16.0
0.5221,1020.0,0.8068,0.876,10.0
0.7974,1115.0,0.6816,0.4874,12.0
0.8723,1120.0,0.5921,0.5987,13.0
0.6316,1162.0,0.534,0.5345,11.0
0.8239,1008.0,0.3878,0.5101,12.0
0.3434,1419.0,0.823,0.584,9.0
0.689,1203.0,0.7599,0.4344,12.0
0.5718,1345.0,0.8799,0.4977,18.0
0.8855,1200.0,0.6689,0.6033,17.0
0.829,1134.0,0.6922,0.5972,12.0
0.6845,1213.0,0.7478,0.5833,16.0
0.9652,1192.0,0.5532,0.5094,20.0
0.8246,1128.0,0.4912,0.93,7.0
0.7992,1147.0,0.6856,0.5492,14.0
0.388,960.0,0.1842,0.5909,19.0
0.9227,1133.0,0.6443,0.543,11.0
0.9604,1072.0,0.4393,0.5479,14.0
0.8402,1211.0,0.7515,0.5654,11.0
0.7815,1080.0,0.4703,0.5485,17.0
0.5391,1022.0,0.328,0.4833,14.0
0.813,1085.0,0.3698,0.6235,16.0
0.6468,1034.0,0.309,0.5823,17.0
0.5533,977.0,0.1889,0.4373,13.0
0.9946,1048.0,0.3883,0.6403,17.0
0.593,1028.0,0.3035,0.5845,14.0
0.9653,1129.0,0.5649,0.5461,15.0
0.6837,1166.0,0.6551,0.519,18.0
0.5574,1111.0,0.5351,0.5672,15.0
0.7924,1200.0,0.65,0.6646,10.0
0.8523,1249.0,0.7575,0.5124,17.0
0.8499,1123.0,0.5888,0.6168,16.0
0.737,1042.0,0.3009,0.5561,21.0
